amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,demand,average_rating,price_difference
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
12 years a slave,by Solomon Northup,4.5,41.0,8175994479,99,  Northup Solomon,8175994479,12 years a slave : - a true story,56.0,140,4.4,97.0,4.45,41
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
headley and i,by S. Hussain Zaidi,3.5,14.0,9350295725,247,  Zaidi S. Hussain,9350295725,headley and i,46.0,280,4.2,60.0,3.85,33
making india awesome: new essays and columns,by Chetan Bhagat,3.8,1188.0,8129137429,100,  Bhagat Chetan,8129137429,making india awesome,1779.0,112,4.1,2967.0,3.9499999999999997,12
the dirty dozen: hitmen of the mumbai underworld,by Gabriel Khan,4.2,54.0,9386850133,221,  Khan Gabriel,9386850133,the dirty dozen - hitmen of mumbai mafia,32.0,221,4.5,86.0,4.35,0
the dirty dozen: hitmen of the mumbai underworld,by Gabriel Khan,4.2,54.0,9386850133,221,  Khan Gabriel,9386850133,the dirty dozen - hitmen of mumbai mafia,32.0,221,4.5,86.0,4.35,0
the dirty dozen: hitmen of the mumbai underworld,by Gabriel Khan,4.2,54.0,9386850133,221,  Khan Gabriel,9386850133,the dirty dozen - hitmen of mumbai mafia,32.0,221,4.5,86.0,4.35,0
the dirty dozen: hitmen of the mumbai underworld,by Gabriel Khan,4.2,54.0,9386850133,221,  Khan Gabriel,9386850133,the dirty dozen - hitmen of mumbai mafia,32.0,221,4.5,86.0,4.35,0
