amazon_title,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price,flipkart_title,flipkart_stars,flipkart_ratings count,flipkart_isbn10,flipkart_price,predicted_price,adjusted_price
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
The Dirty Dozen: Hitmen of the Mumbai Underworld,4.2,54,9386850133,221, The Dirty Dozen - Hitmen of Mumbai Mafia,4.5,32,9386850133,221,276.65373174562274,304.31910492018505
Commando,3.7,15,9386867168,333, Commando - Mossad,4.4,30,9386867168,298,262.8030096855323,262.8030096855323
Commando,3.7,15,9386867168,333, Commando - Mossad,4.4,30,9386867168,298,262.8030096855323,262.8030096855323
Commando,3.7,15,9386867168,333, Commando - Mossad,4.4,30,9386867168,298,262.8030096855323,262.8030096855323
Commando,3.7,15,9386867168,333, Commando - Mossad,4.4,30,9386867168,298,262.8030096855323,262.8030096855323
"Behold, I Shine: Narratives of Kashmir's Women and Children",4.3,15,8129145715,106, BEHOLD- I SHINE,4.5,49,8129145715,112,272.39685707009016,299.6365427770992
"Behold, I Shine: Narratives of Kashmir's Women and Children",4.3,15,8129145715,106, BEHOLD- I SHINE,4.5,49,8129145715,112,272.39685707009016,299.6365427770992
"Behold, I Shine: Narratives of Kashmir's Women and Children",4.3,15,8129145715,106, BEHOLD- I SHINE,4.5,49,8129145715,112,272.39685707009016,299.6365427770992
"Behold, I Shine: Narratives of Kashmir's Women and Children",4.3,15,8129145715,106, BEHOLD- I SHINE,4.5,49,8129145715,112,272.39685707009016,299.6365427770992
Corporate Guru Narayan Murthy,4.1,4,8173157685,150, Corporate Guru Narayan Murthy,4.1,10,8173157685,147,119.55039298397855,131.50543228237643
Byculla to Bangkok,4.1,96,9351362256,192, BYCULLA TO BANGKOK,4.4,458,9351362256,176,240.39331207358646,264.4326432809451
Byculla to Bangkok,4.1,96,9351362256,192, BYCULLA TO BANGKOK,4.4,458,9351362256,176,240.39331207358646,264.4326432809451
